,timestamp,total_runtime
10,1553112135725,1683451213.0
11,1553112137502,1610545642.0
24,1553112154703,1669255117.0
25,1553112156453,1702559381.0
38,1553112168712,1684962624.0
39,1553112170475,1504938913.0
52,1553112182173,1695113377.0
53,1553112183914,1586082729.0
66,1553112195396,1496310693.0
67,1553112196945,1608853163.0
80,1553112208898,1748643358.0
81,1553112210691,1573561391.0
94,1553112221757,1646373663.0
95,1553112223465,1633084014.0
108,1553112233762,1730828903.0
109,1553112235532,1634689196.0
122,1553112246866,1985259086.0
123,1553112248907,1525310272.0
136,1553112259463,1680479662.0
137,1553112261185,1571928453.0
