test,name,timestamp,seed,run,load,maxIterations,total_runtime,saveMode,train,output,save,k,input,spark.driver.host,spark.driver.port,spark.jars,spark.app.name,spark.executor.id,spark.submit.deployMode,spark.master,spark.ui.filters,spark.driver.appUIAddress,spark.org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter.param.PROXY_HOSTS,spark.org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter.param.PROXY_URI_BASES,spark.app.id,description
1016398673,kmeans,1552939298813,127,0,3950069876,2,22490218759,error,17523750210,"",0,2,/tmp/spark-bench-test/kmeans-data.parquet,spark,34857,file:/usr/spark-bench/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,yarn,org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter,http://spark:4040,nodemanager1,http://nodemanager1:8088/proxy/application_1552939227060_0002,application_1552939227060_0002,Classic benchmarking
365948625,kmeans,1552939322070,127,1,191543130,2,10480950640,error,9923458885,"",0,2,/tmp/spark-bench-test/kmeans-data.parquet,spark,34857,file:/usr/spark-bench/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,yarn,org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter,http://spark:4040,nodemanager1,http://nodemanager1:8088/proxy/application_1552939227060_0002,application_1552939227060_0002,Classic benchmarking
219162673,kmeans,1552939332949,127,2,56963913,2,7979695728,error,7703569142,"",0,2,/tmp/spark-bench-test/kmeans-data.parquet,spark,34857,file:/usr/spark-bench/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,yarn,org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter,http://spark:4040,nodemanager1,http://nodemanager1:8088/proxy/application_1552939227060_0002,application_1552939227060_0002,Classic benchmarking
180799625,kmeans,1552939341124,127,3,60479332,2,4890179219,error,4648900262,"",0,2,/tmp/spark-bench-test/kmeans-data.parquet,spark,34857,file:/usr/spark-bench/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,yarn,org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter,http://spark:4040,nodemanager1,http://nodemanager1:8088/proxy/application_1552939227060_0002,application_1552939227060_0002,Classic benchmarking
250632110,kmeans,1552939346180,127,4,40766529,2,5180438109,error,4889039470,"",0,2,/tmp/spark-bench-test/kmeans-data.parquet,spark,34857,file:/usr/spark-bench/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,yarn,org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter,http://spark:4040,nodemanager1,http://nodemanager1:8088/proxy/application_1552939227060_0002,application_1552939227060_0002,Classic benchmarking
180995963,kmeans,1552939351483,127,5,33151168,2,4098859978,error,3884712847,"",0,2,/tmp/spark-bench-test/kmeans-data.parquet,spark,34857,file:/usr/spark-bench/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,yarn,org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter,http://spark:4040,nodemanager1,http://nodemanager1:8088/proxy/application_1552939227060_0002,application_1552939227060_0002,Classic benchmarking
175287226,kmeans,1552939355880,127,6,60603813,2,4315355534,error,4079464495,"",0,2,/tmp/spark-bench-test/kmeans-data.parquet,spark,34857,file:/usr/spark-bench/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,yarn,org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter,http://spark:4040,nodemanager1,http://nodemanager1:8088/proxy/application_1552939227060_0002,application_1552939227060_0002,Classic benchmarking
204767075,kmeans,1552939360352,127,7,94270772,2,4770483563,error,4471445716,"",0,2,/tmp/spark-bench-test/kmeans-data.parquet,spark,34857,file:/usr/spark-bench/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,yarn,org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter,http://spark:4040,nodemanager1,http://nodemanager1:8088/proxy/application_1552939227060_0002,application_1552939227060_0002,Classic benchmarking
234721388,kmeans,1552939365254,127,8,38359347,2,4113542515,error,3840461780,"",0,2,/tmp/spark-bench-test/kmeans-data.parquet,spark,34857,file:/usr/spark-bench/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,yarn,org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter,http://spark:4040,nodemanager1,http://nodemanager1:8088/proxy/application_1552939227060_0002,application_1552939227060_0002,Classic benchmarking
246105411,kmeans,1552939369520,127,9,36350265,2,5378779298,error,5096323622,"",0,2,/tmp/spark-bench-test/kmeans-data.parquet,spark,34857,file:/usr/spark-bench/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,yarn,org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter,http://spark:4040,nodemanager1,http://nodemanager1:8088/proxy/application_1552939227060_0002,application_1552939227060_0002,Classic benchmarking
201388387,kmeans,1552939375164,127,10,94817752,2,5027253452,error,4731047313,"",0,2,/tmp/spark-bench-test/kmeans-data.parquet,spark,34857,file:/usr/spark-bench/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,yarn,org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter,http://spark:4040,nodemanager1,http://nodemanager1:8088/proxy/application_1552939227060_0002,application_1552939227060_0002,Classic benchmarking
207010699,kmeans,1552939380314,127,11,37992424,2,4408111212,error,4163108089,"",0,2,/tmp/spark-bench-test/kmeans-data.parquet,spark,34857,file:/usr/spark-bench/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,yarn,org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter,http://spark:4040,nodemanager1,http://nodemanager1:8088/proxy/application_1552939227060_0002,application_1552939227060_0002,Classic benchmarking
233988935,kmeans,1552939384969,127,12,149237832,2,5354043935,error,4970817168,"",0,2,/tmp/spark-bench-test/kmeans-data.parquet,spark,34857,file:/usr/spark-bench/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,yarn,org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter,http://spark:4040,nodemanager1,http://nodemanager1:8088/proxy/application_1552939227060_0002,application_1552939227060_0002,Classic benchmarking
164303302,kmeans,1552939390465,127,13,57045480,2,4700580517,error,4479231735,"",0,2,/tmp/spark-bench-test/kmeans-data.parquet,spark,34857,file:/usr/spark-bench/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,yarn,org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter,http://spark:4040,nodemanager1,http://nodemanager1:8088/proxy/application_1552939227060_0002,application_1552939227060_0002,Classic benchmarking
248096427,kmeans,1552939395343,127,14,110323013,2,4362739507,error,4004320067,"",0,2,/tmp/spark-bench-test/kmeans-data.parquet,spark,34857,file:/usr/spark-bench/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,yarn,org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter,http://spark:4040,nodemanager1,http://nodemanager1:8088/proxy/application_1552939227060_0002,application_1552939227060_0002,Classic benchmarking
